900098,1,1
501173,-1,1
508431,1,1
900101,1,-1
508006,-1,-1
508415,-1,-1
502329,1,-1
501339,1,1
900115,1,1
508089,-1,1
501361,-1,-1
900162,-1,-1
508243,-1,-1
508080,-1,-1
501125,-1,-1
900151,-1,-1
502334,-1,1
501236,-1,-1
900331,-1,-1
508108,1,1
508252,1,1
501220,1,1
900177,-1,-1
501088,-1,1
900197,-1,-1
508105,-1,1
900327,1,1
501348,1,1
501196,-1,-1
501225,-1,1
502337,1,-1
508321,-1,-1
501195,1,1
501312,1,1
508566,1,1
502348,-1,-1
900102,-1,1
508443,1,1
900119,1,1
501318,-1,1
501255,1,1
508335,-1,1
501309,1,1
508007,1,1
