501052,1,-1
508360,-1,-1
508243,1,-1
900331,1,-1
501176,-1,-1
502346,1,-1
508321,1,-1
900166,1,-1
508108,-1,-1
508056,1,-1
900118,-1,-1
900197,1,-1
501094,1,-1
508069,-1,-1
508089,-1,-1
508293,-1,-1
501079,1,-1
900333,-1,-1
508415,1,-1
900129,-1,-1
501320,-1,-1
501101,1,-1
501200,1,-1
900119,-1,-1
900115,-1,-1
508484,1,-1
501220,1,-1
508357,-1,-1
508006,-1,-1
900117,-1,-1
501261,1,-1
508566,1,-1
508031,-1,-1
508431,-1,-1
900338,-1,-1
501196,1,-1
900177,1,-1
501163,-1,-1
501329,1,-1
501346,1,-1
501341,1,-1
501518,1,-1
501191,1,-1
900155,1,-1
